id,artigo,doi,link,titulo,veiculo,ano,editora,editora_estabelecida,quartil,status,o_que_fazer,arquivo_destino,veredito,razao
grains_045,grains,10.1051/e3sconf/202017505005,https://doi.org/10.1051/e3sconf/202017505005,Performance analysis of the process of combine harvesting of grain crops,E3S Web of Conferences,2020,EDP Sciences,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_045.pdf,correto,anais de conferência
grains_049,grains,10.1051/e3sconf/202127307010,https://doi.org/10.1051/e3sconf/202127307010,An integrated intelligent system for managing the efficiency of the production processes,E3S Web of Conferences,2021,EDP Sciences,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_049.pdf,correto,anais de conferência
grains_010,grains,10.47941/ijhss.2771,https://doi.org/10.47941/ijhss.2771,"Association between Household Socio-Demographic Factors and Postharvest Management Technologies Use for Grains in Dodoma Region, Tanzania",International Journal of Humanity and Social Sciences,2025,,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_010.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_016,grains,10.58567/rea03040001,https://doi.org/10.58567/rea03040001,Grain Trade: A Literature Review and Research Outlook,Review of Economic Assessment,2024,,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_016.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_046,grains,10.1051/shsconf/202521601068,https://doi.org/10.1051/shsconf/202521601068,Optimizing Supply Chain Management to Reduce Food Waste and Loss in Agriculture,SHS Web of Conferences,2025,EDP Sciences,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_046.pdf,correto,anais de conferência
grains_032,grains,10.2139/ssrn.4193379,https://doi.org/10.2139/ssrn.4193379,Food Loss and Waste from Farm to Gate in Brazilian Soybean Production,SSRN Electronic Journal,2022,RELX Group (Netherlands),False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_032.pdf,correto,repositório de preprint
grains_056,grains,10.1007/978-981-97-2795-7_12,https://doi.org/10.1007/978-981-97-2795-7_12,"Enhancing Food Security, Safety, and Sustainability via the Application of Radiation Technology",,2024,,True,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_056.pdf,correto,capítulo ou livro
grains_059,grains,10.1007/978-3-030-98067-2_172-1,https://doi.org/10.1007/978-3-030-98067-2_172-1,The Role of Biotechnology in Climate Change Adaptation and Postharvest Loss Mitigation in Blueberries,,2025,,True,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_059.pdf,correto,capítulo ou livro
grains_060,grains,10.1007/978-3-031-06562-0_11,https://doi.org/10.1007/978-3-031-06562-0_11,"Food Waste Biorefineries: Developments, Current Advances and Future Outlook",,2022,,True,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_060.pdf,correto,capítulo ou livro
grains_061,grains,10.46632/rmc/2/4/29,https://doi.org/10.46632/rmc/2/4/29,Post-harvest losses in Indian maize amid increasing food insecurity Analysis using TOPSIS method,,2021,,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_061.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_s016,grains,10.58694/20.500.12479/2737,https://doi.org/10.58694/20.500.12479/2737,"Design of an evaporative cooling system integrated with ultraviolet light for preservation of fruits and vegetables at variable tropical weather conditions: a case study of Arusha, Tanzania",,2024,,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_s016.pdf,correto,tese ou dissertação
grains_047,grains,10.4236/as.2022.139061,https://doi.org/10.4236/as.2022.139061,"Grain Hermetic Storage Adoption in Northern Uganda: Awareness, Use, and the Constraints to Technology Adoption",Agricultural Sciences,2022,Scientific Research Publishing,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_047.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_019,grains,10.51470/plantarchives.2024.v24.sp-gabels.029,https://doi.org/10.51470/plantarchives.2024.v24.sp-gabels.029,TESTING THE EFFECT OF HERBAL POWDERS ON GRAIN PARAMETERS IN STORED WHEAT IN THE PRESENCE OF SITOPHILUS ORYZAE UNDER FREE CHOICE,PLANT ARCHIVES,2024,Dr. R.S. Yadav,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_019.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_058,grains,10.18378/rvads.v18i2.9586,https://doi.org/10.18378/rvads.v18i2.9586,Sustentabilidade e segurança alimentar e nutricional,Revista Verde de Agroecologia e Desenvolvimento Sustentável,2023,Grupo Verde de Agroecologia e Abelhas (GVAA),False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_058.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_044,grains,10.26898/0370-8799-2020-4-11,https://doi.org/10.26898/0370-8799-2020-4-11,Interaction of vehicles with the grain pre-treatment point,Siberian Herald of Agricultural Science,2020,,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_044.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_s015,grains,10.4314/tjs.v49i3.16,https://doi.org/10.4314/tjs.v49i3.16,"Design of a Cooling System Integrated with Ultraviolet Light for Preservation of Fruits and Vegetables at Variable Tropical Weather Conditions: A Case Study of Arusha, Tanzania",Tanzania Journal of Science,2023,African Journals OnLine,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/grains_s015.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_005,grains,10.64026/jssf/2026006,https://doi.org/10.64026/jssf/2026006,Adoption Dynamics of Hermetic Storage Technology and Post Harvest Quality Outcomes in Maize Production,Journal of Smart and Sustainable Farming,2026,,False,-,texto_incorreto,arquivo não bate com o título do registro — buscar de novo,pdf/grains_005.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_026,grains,10.1088/1755-1315/1253/1/012001,https://doi.org/10.1088/1755-1315/1253/1/012001,Toxicity and chemical compounds of Piper aduncum fruit extract against storage pest Sitophilus oryzae and Callosobruchus maculatus,IOP Conference Series Earth and Environmental Science,2023,IOP Publishing,False,-,texto_parcial,só página de rosto/abstract — buscar o texto completo por outra rota,pdf/grains_026.pdf,correto,anais de conferência
grains_062,grains,10.31713/mcit.2024.073,https://doi.org/10.31713/mcit.2024.073,Convective-thermal drying simulation to reduce the damage of the grain in convective plants,Modeling Control and Information Technologies,2024,,False,-,texto_parcial,só página de rosto/abstract — buscar o texto completo por outra rota,pdf/grains_062.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
