editora,grande,id,artigo,doi,link,titulo,veiculo,ano,status,arquivo_destino
SSRN,True,grains_032,grains,10.2139/ssrn.4193379,https://doi.org/10.2139/ssrn.4193379,Food Loss and Waste from Farm to Gate in Brazilian Soybean Production,Social Science Research Network,2022,oa_bloqueado,pdf/grains_032.pdf
Springer,True,airline_028,airline,10.1007/s40305-020-00306-9,https://doi.org/10.1007/s40305-020-00306-9,Flight-Based Congestion Pricing Considering Equilibrium Flights in Airport Airside,Journal of the Operations Research Society of China,2020,texto_parcial,pdf/airline_028.pdf
Springer,True,airline_s016,airline,10.1007/978-3-662-54171-5_4,https://doi.org/10.1007/978-3-662-54171-5_4,,Angewandte Optimierung mit IBM ILOG CPLEX Optimization Studio,2023,texto_parcial,pdf/airline_s016.pdf
Springer,True,grains_050,grains,10.1007/978-981-16-3791-9_8,https://doi.org/10.1007/978-981-16-3791-9_8,Modeling the Causes of Post-harvest Loss in the Agri-Food Supply Chain to Achieve Sustainable Development Goal,Challenges and Opportunities of Circular Economy in Agri-Food Sector,2021,texto_parcial,pdf/grains_050.pdf
Springer,True,grains_s003,grains,10.1007/s43621-026-04167-9,https://doi.org/10.1007/s43621-026-04167-9,"Marketing efficiency of agricultural cash crops and rural household welfare in South Gondar, Ethiopia",Discover Sustainability,2026,texto_parcial,pdf/grains_s003.pdf
Taylor & Francis,True,airline_030,airline,10.1080/03081060.2020.1701706,https://doi.org/10.1080/03081060.2020.1701706,Airport airside congestion pricing considering price discrimination between aircraft type under a Stackelberg ,Transportation Planning and Technology,2020,fechado,pdf/airline_030.pdf
Taylor & Francis,True,grains_022,grains,10.1080/15325008.2024.2316257,https://doi.org/10.1080/15325008.2024.2316257,Modeling and Control of an Indirect Solar Dryer in Forced Convection Mode Using System Identification and Mode,Electric power components and systems,2024,fechado,pdf/grains_022.pdf
Taylor & Francis,True,grains_s001,grains,10.1080/14620316.2022.2091488,https://doi.org/10.1080/14620316.2022.2091488,Application of nanotechnology for preventing postharvest losses of agriproducts,The Journal of Horticultural Science and Biotechnology,2023,fechado,pdf/grains_s001.pdf
Wiley,True,airline_057,airline,10.1111/jbfa.12351,https://doi.org/10.1111/jbfa.12351,Causal language intensity in performance commentary and financial analyst behaviour,Journal of Business Finance &amp Accounting,2018,texto_parcial,pdf/airline_057.pdf
Wiley,True,grains_014,grains,10.1002/fes3.70086,https://doi.org/10.1002/fes3.70086,Losses in Agricultural Produce: Causes and Effects on Food Security,Food and Energy Security,2025,oa_antibot,pdf/grains_014.pdf
Wiley,True,grains_027,grains,10.1111/jfpe.14456,https://doi.org/10.1111/jfpe.14456,Postharvest engineering: Effects of drying and storage operations on the quality of processed soybeans,Journal of food process engineering,2023,fechado,pdf/grains_027.pdf
Wiley,True,grains_029,grains,10.1002/est2.461,https://doi.org/10.1002/est2.461,Comprehensive analysis of thermophysical properties of a binary stearyl alcohol and benzamide eutectic phase c,Energy Storage,2023,oa_antibot,pdf/grains_029.pdf
Wiley,True,grains_054,grains,10.1002/bse.3191,https://doi.org/10.1002/bse.3191,Circular economy adoption challenges in the food supply chain for sustainable development,Business Strategy and the Environment,2022,oa_antibot,pdf/grains_054.pdf
Wiley (Hindawi),True,grains_006,grains,10.1155/aia/5730172,https://doi.org/10.1155/aia/5730172,Participatory Sustainability Indicators Reveal Systemic Weaknesses in Basic Grains Production in Central Ameri,Advances in Agriculture,2026,oa_antibot,pdf/grains_006.pdf
Wiley (Hindawi),True,grains_007,grains,10.1155/aia/3910210,https://doi.org/10.1155/aia/3910210,Reducing Postharvest Losses in the Global South: A Meta‐Analytical Framework for Food Policy Intervention,Advances in Agriculture,2026,oa_antibot,pdf/grains_007.pdf
menor,False,airline_009,airline,10.5281/zenodo.10671656,https://doi.org/10.5281/zenodo.10671656,Impactos da Navega\c{c}\~ao Baseada em Performance nos Tempos de Voo da Avia\c{c}\~ao Comercial,RePEc: Research Papers in Economics,2024,texto_incorreto,pdf/airline_009.pdf
menor,False,airline_011,airline,10.5281/zenodo.10671658,https://doi.org/10.5281/zenodo.10671658,An\'alise das estrat\'egias de planejamento de tempos de voo pelas companhias a\'ereas,arXiv (Cornell University),2024,texto_incorreto,pdf/airline_011.pdf
menor,False,airline_038,airline,10.5028/jatm.v11.977,https://doi.org/10.5028/jatm.v11.977,The Impact of Delays on Customers’ Satisfaction: an Empirical Analysis of the British Airways On-Time Performa,Journal of Aerospace Technology and Management,2018,texto_parcial,pdf/airline_038.pdf
menor,False,airline_044,airline,10.55959/msu0130-0105-6-59-2-9,https://doi.org/10.55959/msu0130-0105-6-59-2-9,Determinants of entry on airline markets,Lomonosov Economics Journal,2024,texto_parcial,pdf/airline_044.pdf
menor,False,airline_s014,airline,10.13016/vgi6-awc2,https://doi.org/10.13016/vgi6-awc2,Optimal Reassignment of Flights to Gates Focusing on Transfer Passengers,University Libraries (University of Maryland),2019,texto_parcial,pdf/airline_s014.pdf
menor,False,airline_s021,airline,10.3030/687772,https://doi.org/10.3030/687772,,,2021,fechado,pdf/airline_s021.pdf
menor,False,grains_010,grains,10.47941/ijhss.2771,https://doi.org/10.47941/ijhss.2771,Association between Household Socio-Demographic Factors and Postharvest Management Technologies Use for Grains,International journal of humanities and social sciences,2025,oa_bloqueado,pdf/grains_010.pdf
menor,False,grains_020,grains,10.17221/221/2023-agricecon,https://doi.org/10.17221/221/2023-agricecon,Subsidy policies for the grain supply chain considering postharvest loss of grain and agricultural pollutant e,Agricultural Economics-zemedelska Ekonomika,2024,oa_bloqueado,pdf/grains_020.pdf
menor,False,grains_042,grains,10.24203/ajafs.v9i2.6615,https://doi.org/10.24203/ajafs.v9i2.6615,Quality Deterioration of Postharvest Fruits and Vegetables in Developing Country Pakistan: A Mini Overview,Asian Journal of Agriculture and Food Sciences,2021,oa_bloqueado,pdf/grains_042.pdf
menor,False,grains_045,grains,10.1051/e3sconf/202017505005,https://doi.org/10.1051/e3sconf/202017505005,Performance analysis of the process of combine harvesting of grain crops,E3S Web of Conferences,2020,oa_bloqueado,pdf/grains_045.pdf
menor,False,grains_049,grains,10.1051/e3sconf/202127307010,https://doi.org/10.1051/e3sconf/202127307010,An integrated intelligent system for managing the efficiency of the production processes,E3S Web of Conferences,2021,oa_bloqueado,pdf/grains_049.pdf
menor,False,grains_058,grains,10.18378/rvads.v18i2.9586,https://doi.org/10.18378/rvads.v18i2.9586,Sustentabilidade e segurança alimentar e nutricional,Revista Verde de Agroecologia e Desenvolvimento Sustentável,2023,tem_texto,pdf/grains_058.pdf
menor,False,grains_062,grains,10.31713/mcit.2024.073,https://doi.org/10.31713/mcit.2024.073,Convective-thermal drying simulation to reduce the damage of the grain in convective plants,Modeling Control and Information Technologies,2024,texto_parcial,pdf/grains_062.pdf
menor,False,grains_s011,grains,10.13031/aea.16468,https://doi.org/10.13031/aea.16468,Optimization of Numerical Approach for a Commercial Grain Conditioning Simulation Tool (PHAST Model) Using Fin,Applied Engineering in Agriculture,2025,fechado,pdf/grains_s011.pdf
menor,False,grains_s019,grains,10.47749/t/unicamp.2023.1372938,https://doi.org/10.47749/t/unicamp.2023.1372938,Electronic sensors for grain storage,,2023,fechado,pdf/grains_s019.pdf
